year;population;rank
2016;413,651;46
2015;410,939;46
2014;407,207;46
2013;400,070;46
2012;392,880;47
2011;388,227;48
2010;382,578;48
2009;385,378;48
2008;381,978;48
2007;378,877;48
2006;375,766;47
2005;375,512;48
2004;375,354;48
2003;377,276;47
2002;378,692;46
2001;381,111;46
2000;382,545;46
1990;368,284;43
1980;370,951;34
1970;434,400;32
1960;482,872;25
1950;521,718;17
1940;492,370;16
1930;464,356;15
1920;380,582;18
1910;301,408;18
1900;202,718;19
1890;164,738;18
1880;46,887;38